item_details	employee_id	sales_year	week_no	weekly_sales
PROD_001	EMP244	2021	W0	23
PROD_001	EMP244	2021	W1	27
PROD_001	EMP244	2021	W2	37
PROD_001	EMP244	2021	W3	47
PROD_001	EMP244	2021	W4	42
PROD_001	EMP244	2021	W5	55
PROD_001	EMP244	2021	W6	59
PROD_001	EMP244	2021	W7	66
PROD_001	EMP244	2021	W8	91
PROD_001	EMP244	2021	W9	70
PROD_001	EMP244	2021	W10	62
PROD_001	EMP244	2021	W11	30
PROD_001	EMP244	2021	W12	47
PROD_001	EMP244	2021	W13	49
PROD_001	EMP244	2021	W14	44
PROD_001	EMP244	2021	W15	74
PROD_001	EMP244	2021	W16	87
PROD_001	EMP244	2021	W17	113
PROD_001	EMP244	2021	W18	94
PROD_001	EMP244	2021	W19	87
PROD_001	EMP244	2021	W20	124
PROD_001	EMP244	2021	W21	89
PROD_001	EMP244	2021	W22	93
PROD_001	EMP244	2021	W23	121
PROD_001	EMP244	2021	W24	91
PROD_001	EMP244	2021	W25	83
PROD_001	EMP244	2021	W26	36
PROD_001	EMP244	2021	W27	30
PROD_001	EMP244	2021	W28	46
PROD_001	EMP244	2021	W29	22
PROD_001	EMP244	2021	W30	24
PROD_001	EMP244	2021	W31	28
PROD_001	EMP244	2021	W32	37
PROD_001	EMP244	2021	W33	33
PROD_001	EMP244	2021	W34	40
PROD_001	EMP244	2021	W35	40
PROD_001	EMP244	2021	W36	47
PROD_001	EMP244	2021	W37	84
PROD_001	EMP244	2021	W38	37
PROD_001	EMP244	2021	W39	33
PROD_001	EMP244	2021	W40	41
PROD_001	EMP244	2021	W41	29
PROD_001	EMP244	2021	W42	33
PROD_001	EMP244	2021	W43	22
PROD_001	EMP244	2021	W44	21
PROD_001	EMP244	2021	W45	28
PROD_001	EMP244	2021	W46	35
PROD_001	EMP244	2021	W47	36
PROD_001	EMP244	2021	W48	36
PROD_001	EMP244	2021	W49	29
PROD_001	EMP244	2021	W50	31
PROD_001	EMP244	2021	W51	35
PROD_001	EMP244	2020	W0	27
PROD_001	EMP244	2020	W1	30
PROD_001	EMP244	2020	W2	40
PROD_001	EMP244	2020	W3	40
PROD_001	EMP244	2020	W4	56
PROD_001	EMP244	2020	W5	54
PROD_001	EMP244	2020	W6	73
PROD_001	EMP244	2020	W7	86
PROD_001	EMP244	2020	W8	66
PROD_001	EMP244	2020	W9	63
PROD_001	EMP244	2020	W10	49
PROD_001	EMP244	2020	W11	51
PROD_001	EMP244	2020	W12	53
PROD_001	EMP244	2020	W13	54
PROD_001	EMP244	2020	W14	64
PROD_001	EMP244	2020	W15	86
PROD_001	EMP244	2020	W16	77
PROD_001	EMP244	2020	W17	68
PROD_001	EMP244	2020	W18	79
PROD_001	EMP244	2020	W19	82
PROD_001	EMP244	2020	W20	89
PROD_001	EMP244	2020	W21	96
PROD_001	EMP244	2020	W22	95
PROD_001	EMP244	2020	W23	77
PROD_001	EMP244	2020	W24	56
PROD_001	EMP244	2020	W25	43
PROD_001	EMP244	2020	W26	35
PROD_001	EMP244	2020	W27	51
PROD_001	EMP244	2020	W28	30
PROD_001	EMP244	2020	W29	21
PROD_001	EMP244	2020	W30	31
PROD_001	EMP244	2020	W31	26
PROD_001	EMP244	2020	W32	37
PROD_001	EMP244	2020	W33	23
PROD_001	EMP244	2020	W34	57
PROD_001	EMP244	2020	W35	38
PROD_001	EMP244	2020	W36	45
PROD_001	EMP244	2020	W37	54
PROD_001	EMP244	2020	W38	58
PROD_001	EMP244	2020	W39	33
PROD_001	EMP244	2020	W40	23
PROD_001	EMP244	2020	W41	24
PROD_001	EMP244	2020	W42	38
PROD_001	EMP244	2020	W43	21
PROD_001	EMP244	2020	W44	28
PROD_001	EMP244	2020	W45	23
PROD_001	EMP244	2020	W46	30
PROD_001	EMP244	2020	W47	31
PROD_001	EMP244	2020	W48	34
PROD_001	EMP244	2020	W49	21
PROD_001	EMP244	2020	W50	15
PROD_001	EMP244	2020	W51	12
PROD_002	EMP244	2021	W0	27
PROD_002	EMP244	2021	W1	36
PROD_002	EMP244	2021	W2	26
PROD_002	EMP244	2021	W3	36
PROD_002	EMP244	2021	W4	48
PROD_002	EMP244	2021	W5	68
PROD_002	EMP244	2021	W6	62
PROD_002	EMP244	2021	W7	68
PROD_002	EMP244	2021	W8	76
PROD_002	EMP244	2021	W9	60
PROD_002	EMP244	2021	W10	62
PROD_002	EMP244	2021	W11	42
PROD_002	EMP244	2021	W12	58
PROD_002	EMP244	2021	W13	67
PROD_002	EMP244	2021	W14	55
PROD_002	EMP244	2021	W15	70
PROD_002	EMP244	2021	W16	69
